title,price,rooms,mp,floor,comandat,link
"Apartamente in ROBIGO, incepand de la 55.000 Euro",,o cameră,40 mp utili,Etaj 2/6,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/bucovina/garsoniera-de-vanzare-XAGC00002?lista=97723676
"Garsoniera cocheta, zona Aradului, merita vizionata",27.000,o cameră,21 mp utili,Etaj 4/4,Nedecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/aradului/garsoniera-de-vanzare-X41F1008H?lista=97723676
Garsoniera Plavat II Girocului confort 1 parter inalt 4 apartamente pe etaj,38.300,o cameră,28 mp utili,Parter/4,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/plavat-ii/garsoniera-de-vanzare-X76300016?lista=97723676
"Perfecta pentru investitie, Complexul Studentesc",32.000,o cameră,20 mp utili,Etaj 1/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/complex-studentesc/garsoniera-de-vanzare-XAOV1000U?lista=97723676
Girocului parter 38500€,38.500,o cameră,28 mp utili,Parter/4,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/girocului/garsoniera-de-vanzare-X8NT0000T?lista=97723676
Apartament 1 camera (decomandat ) -38mp zona rezidentiala bloc nou,38.000,o cameră,38 mp utili,Etaj 2/3,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/ciarda-rosie/garsoniera-de-vanzare-XV0E0017R?lista=97723676
Vand apartament 1 camera la cheie,37.000,o cameră,37 mp utili,Etaj 1/3,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/braytim/garsoniera-de-vanzare-XV0G002KN?lista=97723676
DAMBOVITA-ALFA garsoniera,32.000,o cameră,20 mp utili,Etaj 4/4,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/dambovita/garsoniera-de-vanzare-XV0G005BT?lista=97723676
"Apartament cu o camera, Buziasului",33.000,o cameră,30 mp utili,Mansarda/5,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/buziasului/garsoniera-de-vanzare-X41F100H8?lista=97723676
"Buziasului, garsosniera amenajata, etaj 4 cu acoperis",30.100,o cameră,20 mp utili,Etaj 4/4,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/buziasului/garsoniera-de-vanzare-X41F1001R?lista=97723676
Proprietar Garsoniera Iulius Mall,29.500,o cameră,19 mp utili,Parter,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/lipovei/garsoniera-de-vanzare-XA0700058?lista=97723676
Steaua - oportunitate investitie - mobilat utilat -clima!,19.500,o cameră,19 mp utili,Etaj 4/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/steaua/garsoniera-de-vanzare-X89S000VP?lista=97723676
Apartament 1 camera situat in Complexul Studentesc. REZERVAT.,32.000,o cameră,27 mp utili,Parter/1,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/complex-studentesc/garsoniera-de-vanzare-XAGR10007?lista=97723676
Parter lipovei - holdelor 29.500€ 1 km pana la mall,28.900,o cameră,18 mp utili,Parter/4,Nedecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/lipovei/garsoniera-de-vanzare-X8NT00015?lista=97723676
Apartament 1 camera 20 mp SAD,25.000,o cameră,20 mp utili,Demisol/2,Nedecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/medicina/garsoniera-de-vanzare-X9MT00004?lista=97723676
"Apartament demisol inalt, Take Ionescu",35.000,o cameră,30 mp utili,Demisol,35.000,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/take-ionescu/garsoniera-de-vanzare-X1BR1004Q?lista=97723676
Vand garsoniera situata la et.1 in zona Aradului,29.500,o cameră,22 mp utili,Etaj 1/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/aradului/garsoniera-de-vanzare-XAKF0000I?lista=97723676
GARSONIERA CONF.1 IN ZONA LIPOVEI APROAPE DE MALL,37.000,o cameră,25 mp utili,Etaj 4/4,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/lipovei/garsoniera-de-vanzare-X7630002Q?lista=97723676
"DAMBOVITA, AMENAJAT, CU CENTRALA TERMICA PROPRIE!!",33.000,o cameră,25 mp utili,Etaj 4/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/dambovita/garsoniera-de-vanzare-X1890003C?lista=97723676
Decomandat. Bucatarie separata.Pret excelent.,38.000,o cameră,32.19 mp utili,Etaj 1/3,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/braytim/garsoniera-de-vanzare-X9B91003B?lista=97723676
"Buziasului, 1 camera, mobilat si utilat!",31.000,o cameră,24 mp utili,Etaj 1/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/buziasului/garsoniera-de-vanzare-X84C10016?lista=97723676
Garsoniera Renovata zona Soarelui,25.000,o cameră,15 mp utili,Etaj 4,25.000,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/soarelui/garsoniera-de-vanzare-XA0700025?lista=97723676
"Girocului Plavat cu Centrala,Clima Complet Mobilat Utilat",39.000,o cameră,25 mp utili,Etaj 3/4,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/girocului/garsoniera-de-vanzare-X8600001A?lista=97723676
Apartament cu 1 camera cu centrala,38.500,o cameră,34 mp utili,Mansarda/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/dambovita/garsoniera-de-vanzare-X0NR00013?lista=97723676
Investitie perfecta. Etaj intermediar.,30.500,o cameră,22 mp utili,Etaj 1/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/aradului/garsoniera-de-vanzare-X9B9100IP?lista=97723676
"AR108 Garsoniera, Zona Buziasului",30.000,o cameră,24 mp utili,Parter,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/buziasului/garsoniera-de-vanzare-X7SO0005B?lista=97723676
Apartament nou 1 camera la cheie,37.000,o cameră,33 mp utili,Etaj 2,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/braytim/garsoniera-de-vanzare-XV0F0047D?lista=97723676
NOU. Finalizare 2018. Decomandat,39.000,o cameră,33 mp utili,Etaj 1/3,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/braytim/garsoniera-de-vanzare-X0Q610FJ4?lista=97723676
Balcescu- 1 cam- Centrala P.- Semicentral- 37.000 Eu,37.000,o cameră,30 mp utili,Parter/1,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/balcescu/garsoniera-de-vanzare-X89S00196?lista=97723676
1 Camera - Complex - Lunei,39.000,o cameră,30 mp utili,Etaj 4/4,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/lunei/garsoniera-de-vanzare-X86F0000D?lista=97723676
Garsoniera zona Aradului,31.000,o cameră,22 mp utili,Etaj 4,31.000,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/aradului/garsoniera-de-vanzare-XA0700059?lista=97723676
Garsoniera in zona Buziasului,35.000,o cameră,21 mp utili,Parter,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/buziasului/garsoniera-de-vanzare-X41F1006N?lista=97723676
"OT972 Apartament 1 Camera, Mobilat-Utilat, Zona Sagului-Iosefin",35.000,o cameră,31 mp utili,Etaj 4/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/sagului/garsoniera-de-vanzare-X7SO00050?lista=97723676
Dambovita- 1 cam- Centrala P.- Ideal Investitie- 38.000 Euro,38.000,o cameră,34 mp utili,Etaj 4/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/dambovita/garsoniera-de-vanzare-X89S000DN?lista=97723676
Decomandat Etaj 1 Complex Studentesc,32.000,o cameră,25 mp utili,Etaj 1,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/complex-studentesc/garsoniera-de-vanzare-XA070002Q?lista=97723676
Centrala Proprie. Izolat. Boxa in cf,35.000,o cameră,28.89 mp utili,Parter,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/fabric/garsoniera-de-vanzare-X9B910047?lista=97723676
"Ocazie, posibilitate de investite, foarte aproape de Mall!",19.500,o cameră,19 mp utili,Etaj 4/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/steaua/garsoniera-de-vanzare-X89S000RL?lista=97723676
"Garsoniera ,Spatiu comercial,Birou",33.900,o cameră,30 mp utili,Parter/1,Nedecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/dorobantilor/garsoniera-de-vanzare-X6EM00009?lista=97723676
Blascovici- 1 cam- Zona Investitie- 25.500 Eu,25.500,o cameră,22 mp utili,Etaj 4/4,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/blascovici/garsoniera-de-vanzare-X89S000DF?lista=97723676
"OCAZIE!!DAMBOVITA, CENTRALA TERMICA, DECOMANDAT!!",33.000,o cameră,25 mp utili,Etaj 4/4,Decomandat,http://www.imobiliare.ro/vanzare-garsoniere/timisoara/dambovita/garsoniera-de-vanzare-X18900032?lista=97723676
"DAMBOVITA-ALFA, DECOMANDAT, CU CENTRALA TERMICA!!",33.000,o cameră,25 mp utili,Etaj 4/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/dambovita/garsoniera-de-vanzare-X1890003E?lista=97723676
"Complexul Studentesc, oportunitate de investitie",29.900,o cameră,23 mp utili,Etaj 1/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/complex-studentesc/garsoniera-de-vanzare-X41F100O7?lista=97723676
Calea Aradului Garsoniera Renovata Mobilata,24.000,o cameră,15 mp utili,Etaj 4/4,Semidecomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/aradului/garsoniera-de-vanzare-X7PS00040?lista=97723676
"Complex Studentesc, pretabil pentru investitie",31.500,o cameră,25 mp utili,Etaj 4/4,Decomandat,https://www.imobiliare.ro/vanzare-garsoniere/timisoara/complex-studentesc/garsoniera-de-vanzare-X9B9100HD?lista=97723676
