title,price,area,rooms,price/m2,link
"PC117, Apartament 1 Camera, Spatios, Zona Steaua",200 €                                                /luna,38 m²,1 camera,,https://www.storia.ro/oferta/pc117-apartament-1-camera-spatios-zona-steaua-IDeNSr.html#f68f8cfd81
"PC110,Apartament 1 Camera , Centrala Proprie , Zona Buziasului",270 €                                                /luna,30 m²,1 camera,,https://www.storia.ro/oferta/pc110-apartament-1-camera-centrala-proprie-zona-buziasului-IDeMnp.html#f68f8cfd81
LUX Totul Nou Iulius Mall Lipovei,220 €                                                /luna,20 m²,1 camera,,https://www.storia.ro/oferta/lux-totul-nou-iulius-mall-lipovei-IDeWGz.html#f68f8cfd81
1 camera- Central-Mobilat-Utilat-Sagului-2 Min Shopping City-150 Euro!,150 €                                                /luna,16 m²,1 camera,,https://www.storia.ro/oferta/1-camera-central-mobilat-utilat-sagului-2-min-shopping-city-150-euro-IDdOTL.html#f68f8cfd81
"1 camera,nemobilat",200 €                                                /luna,27 m²,1 camera,,https://www.storia.ro/oferta/1-camera-nemobilat-IDeR1n.html#f68f8cfd81
1 camera-Central-Mobilat-Utilat-Sagului-2 Min Shopping City - 150 Euro,150 €                                                /luna,19 m²,1 camera,,https://www.storia.ro/oferta/1-camera-central-mobilat-utilat-sagului-2-min-shopping-city-150-euro-IDf5BM.html#f68f8cfd81
Apartament aproape de facultati,150 €                                                /luna,33 m²,1 camera,,https://www.storia.ro/oferta/apartament-aproape-de-facultati-IDeY3F.html#f68f8cfd81
"Garsoniera, 15 mp, Dambovita",180 €                                                /luna,17 m²,1 camera,,https://www.storia.ro/oferta/garsoniera-15-mp-dambovita-IDeY2B.html#f68f8cfd81
"Apartament cu o camera, Circumvalatiunii",340 €                                                /luna,32 m²,1 camera,,https://www.storia.ro/oferta/apartament-cu-o-camera-circumvalatiunii-IDf5rH.html#f68f8cfd81
Camera de inchiriat,130 €                                                /luna,25 m²,1 camera,,https://www.storia.ro/oferta/camera-de-inchiriat-IDeBbi.html#f68f8cfd81
Girocului - 1 cam dec- foarte spatios - renovat complet!,270 €                                                /luna,35 m²,1 camera,,https://www.storia.ro/oferta/girocului-1-cam-dec-foarte-spatios-renovat-complet-IDf3jz.html#f68f8cfd81
"AT015, Zona Complex, Apartament 1 camera, Decomandat",260 €                                                /luna,35 m²,1 camera,,https://www.storia.ro/oferta/at015-zona-complex-apartament-1-camera-decomandat-IDeSbC.html#f68f8cfd81
Apartament 1 Camera la Casa zona Cluj-Omv 200 euro,230 €                                                /luna,36 m²,1 camera,,https://www.storia.ro/oferta/apartament-1-camera-la-casa-zona-cluj-omv-200-euro-IDeWgB.html#f68f8cfd81
