Column1,Column2,Column3,Column4,Column5,Column6
title,price,area,rooms,price/m2,link
Girocului parter 38500€,38 500 €,30 m²,1 camera,1 283 €/m²,https://www.storia.ro/oferta/girocului-parter-38500-IDeZ7g.html#9fafbb36a1
girocului lidia parter inalt 1 camera,38 500 €,30 m²,1 camera,1 283 €/m²,https://www.storia.ro/oferta/girocului-lidia-parter-inalt-1-camera-IDf4wM.html#9fafbb36a1
Garsoniera cocheta  zona Aradului  merita vizionata,27 000 €,25 m²,1 camera,1 080 €/m²,https://www.storia.ro/oferta/garsoniera-cocheta-zona-aradului-merita-vizionata-IDeCU1.html#9fafbb36a1
Apartament cu 1 camera decomandat  etajul 3 zona Calea Sagului,46 000 €,39 m²,1 camera,1 179 €/m²,https://www.storia.ro/oferta/apartament-cu-1-camera-decomandat-etajul-3-zona-calea-sagului-IDf03h.html#9fafbb36a1
Apartament 1 cameră  30mp  zona Blașcovici!,39 900 €,37 m²,1 camera,1 078 €/m²,https://www.storia.ro/oferta/apartament-1-camer-30mp-zona-blacovici-IDf2Fy.html#9fafbb36a1
OT972 Apartament 1 Camera  Mobilat-Utilat  Zona Sagului-Iosefin,35 000 €,35 m²,1 camera,1 000 €/m²,https://www.storia.ro/oferta/ot972-apartament-1-camera-mobilat-utilat-zona-sagului-iosefin-IDeK7B.html#9fafbb36a1
Parter lipovei - Holdelor 28.900€ 1 km pana la mall,28 900 €,22 m²,1 camera,1 314 €/m²,https://www.storia.ro/oferta/parter-lipovei-holdelor-28-900-1-km-pana-la-mall-IDeZDI.html#9fafbb36a1
Garsoniera Iulius Mall Comision Zero,29 500 €,21 m²,1 camera,1 405 €/m²,https://www.storia.ro/oferta/garsoniera-iulius-mall-comision-zero-IDf7g6.html#9fafbb36a1
Vand garsoniera  etajul 1  zona Aradului,29 500 €,26 m²,1 camera,1 135 €/m²,https://www.storia.ro/oferta/vand-garsoniera-etajul-1-zona-aradului-IDewc6.html#9fafbb36a1
Ap 1 Camera 35mp Centrala gaz Mobilat Sagului 47.500 euro,47 500 €,39 m²,1 camera,1 218 €/m²,https://www.storia.ro/oferta/ap-1-camera-35mp-centrala-gaz-mobilat-sagului-47-500-euro-IDevYX.html#9fafbb36a1
