Column1,Column2,Column3,Column4,Column5,Column6
title,price,area,rooms,price/m2,link
OP717 Badea Cartan  Garsoniera Mobilata si Utilata,37 500 €,26 m²,1 camera,1 442 €/m²,https://www.storia.ro/oferta/op717-badea-cartan-garsoniera-mobilata-si-utilata-IDeO2N.html#5437675e75
Girocului parter 38500€,38 500 €,30 m²,1 camera,1 283 €/m²,https://www.storia.ro/oferta/girocului-parter-38500-IDeZ7g.html#5437675e75
Garsoniera LUX zona Complex Studentesc,32 500 €,20 m²,1 camera,1 625 €/m²,https://www.storia.ro/oferta/garsoniera-lux-zona-complex-studentesc-IDeVot.html#5437675e75
Renovat Complexul Studentesc,28 500 €,20 m²,1 camera,1 425 €/m²,https://www.storia.ro/oferta/renovat-complexul-studentesc-IDecQ6.html#5437675e75
Garsoniera UMT,23 000 €,17 m²,1 camera,1 353 €/m²,https://www.storia.ro/oferta/garsoniera-umt-IDeWgt.html#5437675e75
OT943 Garsoniera  Parter  Zona Aradului,40 500 €,30 m²,1 camera,1 350 €/m²,https://www.storia.ro/oferta/ot943-garsoniera-parter-zona-aradului-IDeEfS.html#5437675e75
Doina apart 2 camere,45 000 €,49 m²,2 camere,918 €/m²,https://www.storia.ro/oferta/doina-apart-2-camere-ID6Rz0.html#5437675e75
Garsoniera  zona Dacia,40 500 €,26.40 m²,1 camera,1 534 €/m²,https://www.storia.ro/oferta/garsoniera-zona-dacia-IDeZcW.html#5437675e75
Garsoniera Blascovici ( langa stadionul CFR)   24 mp utili  etaj 3.,23 700 €,28 m²,1 camera,846 €/m²,https://www.storia.ro/oferta/garsoniera-blascovici-langa-stadionul-cfr-24-mp-utili-etaj-3-ID3ZRm.html#5437675e75
OP584 Ghiroda  Apartamente cu 1 si 2 Camere  Bloc Nou,35 000 €,33 m²,1 camera,1 061 €/m²,https://www.storia.ro/oferta/op584-ghiroda-apartamente-cu-1-si-2-camere-bloc-nou-IDdKpg.html#5437675e75
Garsoniera 25 mp in zona Muzeul Satului,32 500 €,30 m²,1 camera,1 083 €/m²,https://www.storia.ro/oferta/garsoniera-25-mp-in-zona-muzeul-satului-IDePYL.html#5437675e75
1 camera   zona Cetatii,38 500 €,38 m²,1 camera,1 013 €/m²,https://www.storia.ro/oferta/1-camera-zona-cetatii-IDeMqu.html#5437675e75
