Column1,Column2,Column3,Column4,Column5,Column6,Column7
title,price,area,rooms,price/m2,link,zona
AT015. Zona Complex. Apartament 1 camera. Decomandat,260 €                                                /luna,35 m²,1 camera,,https://www.storia.ro/oferta/at015-zona-complex-apartament-1-camera-decomandat-IDeSbC.html#323b44cf1b,Apartament de inchiriat: Timis (judet). Complexul Studentesc
PC122. Apartament 2 Camere. Centrala Proprie. Zona Aradului,550 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/pc122-apartament-2-camere-centrala-proprie-zona-aradului-IDeOXn.html#323b44cf1b,Apartament de inchiriat: Timis (judet). Timisoara
PC108.Apartament 2 Camere. Centrala Proprie. Dumbravita,350 €                                                /luna,48 m²,2 camere,,https://www.storia.ro/oferta/pc108-apartament-2-camere-centrala-proprie-dumbravita-IDeLdm.html#323b44cf1b,Apartament de inchiriat: Timis (judet). Timisoara
AR251 Apartament 2 camere. Zona Medicina,350 €                                                /luna,70 m²,2 camere,,https://www.storia.ro/oferta/ar251-apartament-2-camere-zona-medicina-IDeTkD.html#323b44cf1b,Apartament de inchiriat: Timis (judet). Timisoara
Apartament 2 camere Girocului,430 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-girocului-IDf3DW.html#323b44cf1b,Apartament de inchiriat: Timis (judet). Timisoara
Girocului etajul 1 decomandat plus garaj cu contract la ANAF,300 €                                                /luna,55 m²,2 camere,,https://www.storia.ro/oferta/girocului-etajul-1-decomandat-plus-garaj-cu-contract-la-anaf-IDf6TR.html#323b44cf1b,Apartament de inchiriat: Timis (judet). Timisoara
Apartament 1 camera - Foarte aproape de Piata Unirii,275 €                                                /luna,35 m²,1 camera,,https://www.storia.ro/oferta/apartament-1-camera-foarte-aproape-de-piata-unirii-IDf7lh.html#323b44cf1b,Apartament de inchiriat: Timis (judet). Tipografilor
2 camere LUX!!,500 €                                                /luna,80 m²,2 camere,,https://www.storia.ro/oferta/2-camere-lux-IDeZH2.html#323b44cf1b,Apartament de inchiriat: Timis (judet). Timisoara
Braytim- 2cam- mobilat-utilat-centrala-parcare -370 Euro,370 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/braytim-2cam-mobilat-utilat-centrala-parcare-370-euro-IDf3Y5.html#323b44cf1b,Apartament de inchiriat: Timis (judet). Calea Sagului
